cluster,gene_symbol,specie,event_type,canonical_transcript_id,transcript_id,domain_name,c_domain_length,t_domain_length,c_domains_number,t_domains_number,is_longest_cds,is_most_like_canonical
chr20:clu_4032:FAM209A,FAM209A,human,feature_not_mapped,ENST00000371328.5,,,,,,,,
chr20:clu_4032:FAM209A,FAM209A,human,feature_not_mapped,ENST00000371328.5,,,,,,,,
chr20:clu_4032:FAM209A,FAM209A,human,feature_not_mapped,ENST00000371328.5,,,,,,,,
chr20:clu_4032:FAM209A,FAM209A,human,feature_not_mapped,ENST00000371328.5,,,,,,,,
chr20:clu_4032:FAM209A,FAM209A,human,feature_not_mapped,ENST00000371328.5,,,,,,,,
chr20:clu_4032:FAM209A,FAM209A,human,feature_not_mapped,ENST00000371328.5,,,,,,,,
chr20:clu_4032:FAM209A,FAM209A,human,feature_not_mapped,ENST00000371328.5,,,,,,,,
chr20:clu_4032:FAM209A,FAM209A,human,dropped domain,ENST00000371328.5,XM_047439965.1,IPR027943,171.0,,1.0,0.0,True,False
chr20:clu_4032:FAM209A,FAM209A,human,dropped domain,ENST00000371328.5,XM_047439964.1,IPR027943,171.0,,1.0,0.0,False,False
chr20:clu_4032:FAM209A,FAM209A,human,dropped domain,ENST00000371328.5,ENST00000481560.1,IPR027943,171.0,,1.0,0.0,False,False
chr14:clu_9428,TMED8,human,feature_not_mapped,ENST00000216468.8,,,,,,,,
chr14:clu_9428,TMED8,human,no_unique_features,ENST00000216468.8,NM_001346134.1,,,,,,,
chr14:clu_9428,TMED8,human,no_unique_features,ENST00000216468.8,ENST00000868372.1,,,,,,,
chr14:clu_9428,TMED8,human,dropped domain,ENST00000216468.8,XM_017021224.2,IPR009038,165.0,,1.0,0.0,True,False
chr14:clu_9428,TMED8,human,dropped domain,ENST00000216468.8,NM_001346133.2,IPR009038,165.0,,1.0,0.0,False,True
chr20:clu_4032:RTF2,RTF2,human,feature_not_mapped,ENST00000357348.10,,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,feature_not_mapped,ENST00000357348.10,,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,feature_not_mapped,ENST00000357348.10,,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,feature_not_mapped,ENST00000357348.10,,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,feature_not_mapped,ENST00000357348.10,,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,feature_not_mapped,ENST00000357348.10,,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000023939.8,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000886934.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,XM_017027872.2,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,XM_047440189.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000477485.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000477573.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000886933.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000886935.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000923345.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000886936.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000886937.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000886938.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000923346.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,no_unique_features,ENST00000357348.10,ENST00000449062.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,transcript_doesnt_have_features,ENST00000357348.10,ENST00000484084.5,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,transcript_doesnt_have_features,ENST00000357348.10,ENST00000487211.5,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,transcript_doesnt_have_features,ENST00000357348.10,ENST00000466260.1,,,,,,,
chr20:clu_4032:RTF2,RTF2,human,shorter,ENST00000357348.10,ENST00000395881.7,IPR006735,302.0,207.0,1.0,1.0,True,False
chr20:clu_4032:RTF2,RTF2,human,same,ENST00000357348.10,ENST00000395881.7,IPR027799,46.0,46.0,1.0,1.0,True,False
chr12:clu_6316,GLIPR1,human,no_unique_features,ENST00000266659.8,ENST00000550491.1,,,,,,,
chr12:clu_6316,GLIPR1,human,dropped domain,ENST00000266659.8,XM_047428131.1,IPR035940,204.0,,1.0,0.0,False,False
chr12:clu_6316,GLIPR1,human,dropped domain,ENST00000266659.8,XM_047428131.1,IPR001283,158.0,,1.0,0.0,False,False
chr12:clu_6316,GLIPR1,human,shorter,ENST00000266659.8,ENST00000536703.5,IPR035940,204.0,125.0,1.0,1.0,False,False
chr12:clu_6316,GLIPR1,human,dropped domain,ENST00000266659.8,ENST00000536703.5,IPR001283,158.0,,1.0,0.0,False,False
chr12:clu_6316,GLIPR1,human,shorter,ENST00000266659.8,ENST00000456650.7,IPR035940,204.0,130.0,1.0,1.0,True,False
chr12:clu_6316,GLIPR1,human,shorter,ENST00000266659.8,ENST00000456650.7,IPR001283,158.0,108.0,1.0,1.0,True,False
