cluster,gene_symbol,specie,event_type,canonical_transcript_id,transcript_id,domain_name,c_domain_length,t_domain_length,c_domains_number,t_domains_number,is_longest_cds,is_most_like_canonical
chr10:clu_16824,ZMYND11,human,feature_not_mapped,ENST00000381604.9,,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000704295.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,NM_001370104.2,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000397962.8,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,NM_001370119.2,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,NM_001370105.2,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000704343.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857257.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857271.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857256.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,NM_001330057.3,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857249.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857251.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857250.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,NM_001202466.3,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857267.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857265.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,NM_001370116.2,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,NM_001370120.2,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,NM_001370124.3,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000509513.6,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000381591.5,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857259.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857253.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857270.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857258.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,NM_001370112.2,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,NM_001370123.2,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000704315.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857272.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,NM_001370121.2,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972252.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000704301.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000704303.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,XM_017015594.2,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000558098.4,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000704335.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000704336.1,,,,,,,
chr10:clu_16824,ZMYND11,human,transcript_doesnt_have_features,ENST00000381604.9,ENST00000488275.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000917037.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000439456.5,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972238.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857255.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972239.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972240.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972241.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857252.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857254.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972242.1,,,,,,,
chr10:clu_16824,ZMYND11,human,transcript_doesnt_have_features,ENST00000381604.9,ENST00000972243.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972244.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857260.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857261.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972245.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857262.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857263.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857269.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857264.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000917038.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857283.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857266.1,,,,,,,
chr10:clu_16824,ZMYND11,human,transcript_doesnt_have_features,ENST00000381604.9,ENST00000857284.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857268.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000917039.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972246.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972247.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857274.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972248.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857275.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000381584.6,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000602682.6,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000704339.1,,,,,,,
chr10:clu_16824,ZMYND11,human,transcript_doesnt_have_features,ENST00000381604.9,ENST00000857276.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857277.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857278.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000403354.5,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857279.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857280.1,,,,,,,
chr10:clu_16824,ZMYND11,human,transcript_doesnt_have_features,ENST00000381604.9,ENST00000972253.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857281.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000704306.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000627286.2,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000402736.5,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000704307.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972256.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972254.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000397955.7,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972255.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972249.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972257.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972250.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000857282.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972251.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000917040.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000917041.1,,,,,,,
chr10:clu_16824,ZMYND11,human,no_unique_features,ENST00000381604.9,ENST00000972258.1,,,,,,,
chr10:clu_16824,ZMYND11,human,transcript_doesnt_have_features,ENST00000381604.9,ENST00000704338.1,,,,,,,
chr10:clu_16824,ZMYND11,human,transcript_doesnt_have_features,ENST00000381604.9,ENST00000704340.1,,,,,,,
chr10:clu_16824,ZMYND11,human,transcript_doesnt_have_features,ENST00000381604.9,ENST00000473115.1,,,,,,,
chr10:clu_16826,GTPBP4,human,feature_not_mapped,ENST00000360803.9,,,,,,,,
chr10:clu_16826,GTPBP4,human,no_unique_features,ENST00000360803.9,XM_047424932.1,,,,,,,
chr10:clu_16826,GTPBP4,human,no_unique_features,ENST00000360803.9,ENST00000925424.1,,,,,,,
chr10:clu_16826,GTPBP4,human,no_unique_features,ENST00000360803.9,ENST00000892149.1,,,,,,,
chr10:clu_16826,GTPBP4,human,no_unique_features,ENST00000360803.9,ENST00000892145.1,,,,,,,
chr10:clu_16826,GTPBP4,human,transcript_doesnt_have_features,ENST00000360803.9,ENST00000925420.1,,,,,,,
chr10:clu_16826,GTPBP4,human,transcript_doesnt_have_features,ENST00000360803.9,ENST00000892148.1,,,,,,,
chr10:clu_16826,GTPBP4,human,no_unique_features,ENST00000360803.9,ENST00000892146.1,,,,,,,
chr10:clu_16826,GTPBP4,human,no_unique_features,ENST00000360803.9,ENST00000892147.1,,,,,,,
chr10:clu_16826,GTPBP4,human,no_unique_features,ENST00000360803.9,ENST00000925425.1,,,,,,,
chr10:clu_16826,GTPBP4,human,transcript_doesnt_have_features,ENST00000360803.9,ENST00000925421.1,,,,,,,
chr10:clu_16826,GTPBP4,human,no_unique_features,ENST00000360803.9,ENST00000925422.1,,,,,,,
chr10:clu_16826,GTPBP4,human,no_unique_features,ENST00000360803.9,ENST00000925423.1,,,,,,,
chr10:clu_16826,GTPBP4,human,no_unique_features,ENST00000360803.9,ENST00000892150.1,,,,,,,
chr10:clu_16826,GTPBP4,human,no_unique_features,ENST00000360803.9,ENST00000360059.5,,,,,,,
chr10:clu_16826,GTPBP4,human,transcript_doesnt_have_features,ENST00000360803.9,ENST00000491635.1,,,,,,,
chr10:clu_16826,GTPBP4,human,transcript_doesnt_have_features,ENST00000360803.9,ENST00000491261.1,,,,,,,
chr10:clu_16826,GTPBP4,human,transcript_doesnt_have_features,ENST00000360803.9,ENST00000483839.2,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,XM_011533262.3,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000852695.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,XM_047447138.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000852696.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,XM_017005504.3,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,XM_047447140.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,XM_047447139.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000433556.6,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000464087.6,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000492472.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000496179.5,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000462025.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000471995.5,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000474818.5,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000494360.5,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000489437.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000475128.5,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000493993.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000475590.5,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000492430.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000479275.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000464988.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000461242.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000469838.5,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000404526.6,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000852694.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000852693.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000852692.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000852697.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000852700.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000952988.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000852699.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000852698.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000936119.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000936120.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000936121.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000852701.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000952989.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000936122.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000438369.5,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000852702.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,no_unique_features,ENST00000347869.8,ENST00000952990.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000952991.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000437500.5,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000417905.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000395174.6,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000441812.6,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,transcript_doesnt_have_features,ENST00000347869.8,ENST00000474470.1,,,,,,,
chr3:clu_10461:RBM5,RBM5,human,dropped domain,ENST00000347869.8,ENST00000936118.1,PTHR13948,807.0,,1.0,0.0,True,False
chr3:clu_10461:RBM5,RBM5,human,dropped domain,ENST00000347869.8,ENST00000936118.1,IPR035979,136.0,,1.0,0.0,True,False
chr3:clu_10461:RBM5,RBM5,human,dropped domain,ENST00000347869.8,ENST00000936118.1,IPR036443,36.0,,1.0,0.0,True,False
chr3:clu_10461:RBM5,RBM5,human,dropped domain,ENST00000347869.8,ENST00000936118.1,IPR012677,127.0,,1.0,0.0,True,False
chr3:clu_10461:RBM5,RBM5,human,dropped domain,ENST00000347869.8,ENST00000936118.1,cd16168,56.0,,1.0,0.0,True,False
chr3:clu_10461:RBM5,RBM5,human,dropped domain,ENST00000347869.8,ENST00000936118.1,IPR013087,31.0,,1.0,0.0,True,False
