cluster,gene_symbol,specie,event_type,canonical_transcript_id,transcript_id,domain_name,c_domain_length,t_domain_length,c_domains_number,t_domains_number,is_longest_cds,is_most_like_canonical
RI_ENSG00000160294_21_126,MCM3AP,human,no_unique_features,ENST00000291688.6,ENST00000397708.1,,,,,,,
RI_ENSG00000160294_21_126,MCM3AP,human,no_unique_features,ENST00000291688.6,XM_005261204.6,,,,,,,
RI_ENSG00000160294_21_126,MCM3AP,human,no_unique_features,ENST00000291688.6,XM_005261203.5,,,,,,,
RI_ENSG00000160294_21_126,MCM3AP,human,no_unique_features,ENST00000291688.6,ENST00000496607.5,,,,,,,
RI_ENSG00000160294_21_126,MCM3AP,human,transcript_doesnt_have_features,ENST00000291688.6,ENST00000494755.1,,,,,,,
RI_ENSG00000160294_21_126,MCM3AP,human,transcript_doesnt_have_features,ENST00000291688.6,ENST00000426537.1,,,,,,,
RI_ENSG00000160294_21_126,MCM3AP,human,no_unique_features,ENST00000291688.6,ENST00000467026.5,,,,,,,
RI_ENSG00000160294_21_126,MCM3AP,human,transcript_doesnt_have_features,ENST00000291688.6,ENST00000481113.1,,,,,,,
RI_ENSG00000160294_21_126,MCM3AP,human,transcript_doesnt_have_features,ENST00000291688.6,ENST00000479557.1,,,,,,,
RI_ENSG00000160294_21_126,MCM3AP,human,transcript_doesnt_have_features,ENST00000291688.6,ENST00000495475.1,,,,,,,
RI_ENSG00000160294_21_126,MCM3AP,human,dropped domain,ENST00000291688.6,ENST00000486937.5,IPR031908,290.0,,1.0,0.0,True,False
RI_ENSG00000160294_21_126,MCM3AP,human,dropped domain,ENST00000291688.6,ENST00000486937.5,IPR045107,1422.0,,1.0,0.0,True,False
RI_ENSG00000160294_21_126,MCM3AP,human,dropped domain,ENST00000291688.6,ENST00000486937.5,IPR034265,72.0,,1.0,0.0,True,False
RI_ENSG00000160294_21_126,MCM3AP,human,dropped domain,ENST00000291688.6,ENST00000486937.5,IPR031907,227.0,,1.0,0.0,True,False
RI_ENSG00000160294_21_126,MCM3AP,human,dropped domain,ENST00000291688.6,ENST00000486937.5,IPR062097,409.0,,1.0,0.0,True,False
A5SS_ENSG00000186866_21_62,POFUT2,human,no_unique_features,ENST00000349485.10,ENST00000331343.11,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_047440723.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,ENST00000898198.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,ENST00000898195.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_047440721.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,no_unique_features,ENST00000349485.10,ENST00000898196.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_011529504.4,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_011529507.4,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,no_unique_features,ENST00000349485.10,XM_047440727.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_011529510.3,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_047440728.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,no_unique_features,ENST00000349485.10,XM_047440725.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_047440724.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_047440722.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_011529508.4,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_011529509.4,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_047440726.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,XM_011529511.4,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,no_unique_features,ENST00000349485.10,ENST00000334538.13,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,no_unique_features,ENST00000349485.10,ENST00000937165.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,no_unique_features,ENST00000349485.10,ENST00000898197.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,ENST00000615172.4,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,ENST00000451615.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,no_unique_features,ENST00000349485.10,ENST00000471540.5,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,ENST00000485190.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,ENST00000460932.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,ENST00000463917.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,ENST00000493524.5,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,ENST00000468360.5,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,ENST00000493811.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,transcript_doesnt_have_features,ENST00000349485.10,ENST00000476653.1,,,,,,,
A5SS_ENSG00000186866_21_62,POFUT2,human,dropped domain,ENST00000349485.10,ENST00000612472.4,IPR047414,370.0,,1.0,0.0,True,False
A5SS_ENSG00000186866_21_62,POFUT2,human,dropped domain,ENST00000349485.10,ENST00000612472.4,IPR001780,355.0,,1.0,0.0,True,False
A5SS_ENSG00000186866_21_62,POFUT2,human,added_domain,ENST00000349485.10,ENST00000612472.4,IPR045130,,196.0,0.0,1.0,True,False
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000957662.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000325180.12,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000406772.5,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,XM_006724229.2,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,XM_005261518.3,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,XM_047441323.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,XM_024452216.2,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,XM_024452215.2,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,transcript_doesnt_have_features,ENST00000343632.9,XM_024452217.2,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,transcript_doesnt_have_features,ENST00000343632.9,ENST00000851287.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,transcript_doesnt_have_features,ENST00000343632.9,ENST00000489772.5,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,transcript_doesnt_have_features,ENST00000343632.9,ENST00000491295.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,transcript_doesnt_have_features,ENST00000343632.9,ENST00000481613.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,transcript_doesnt_have_features,ENST00000343632.9,ENST00000475445.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,transcript_doesnt_have_features,ENST00000343632.9,ENST00000463672.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,transcript_doesnt_have_features,ENST00000343632.9,ENST00000460957.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000715689.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000957660.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000405147.7,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000957661.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000851283.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000429218.5,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000937679.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000937680.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000851286.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000957663.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000851284.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000851285.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000937681.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000851288.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000439161.5,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000449944.5,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000411501.5,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000453208.5,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000447515.5,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000431745.5,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000326597.6,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000413251.5,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,no_unique_features,ENST00000343632.9,ENST00000423024.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,transcript_doesnt_have_features,ENST00000343632.9,ENST00000484804.5,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,transcript_doesnt_have_features,ENST00000343632.9,ENST00000488672.1,,,,,,,
A5SS_ENSG00000100083_22_37,GGA1,human,longer,ENST00000343632.9,ENST00000381756.9,IPR052633,139.0,156.0,1.0,1.0,True,False
A5SS_ENSG00000100083_22_37,GGA1,human,split domain,ENST00000343632.9,ENST00000381756.9,pfam00790,136.0,138.0,1.0,2.0,True,False
A5SS_ENSG00000100083_22_37,GGA1,human,longer,ENST00000343632.9,ENST00000381756.9,smart00288,134.0,151.0,1.0,1.0,True,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_024452214.2,IPR052633,139.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_024452214.2,pfam00790,136.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_024452214.2,smart00288,134.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441327.1,IPR052633,139.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441327.1,pfam00790,136.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441327.1,smart00288,134.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_011530123.3,IPR052633,139.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_011530123.3,pfam00790,136.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_011530123.3,smart00288,134.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441325.1,IPR052633,139.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441325.1,pfam00790,136.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441325.1,smart00288,134.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441324.1,IPR052633,139.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441324.1,pfam00790,136.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441324.1,smart00288,134.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441326.1,IPR052633,139.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441326.1,pfam00790,136.0,,1.0,0.0,False,False
A5SS_ENSG00000100083_22_37,GGA1,human,dropped domain,ENST00000343632.9,XM_047441326.1,smart00288,134.0,,1.0,0.0,False,False
SE_ENSG00000160305_21_1,DIP2A,human,feature_not_mapped,ENST00000417564.3,,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,ENST00000850580.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,ENST00000874257.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,ENST00000651436.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,ENST00000400274.5,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,XM_047440707.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,XM_017028293.2,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,XM_047440710.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,XM_047440711.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,XM_047440708.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,ENST00000960787.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,ENST00000931212.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,XM_047440715.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,ENST00000960783.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,XM_047440714.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,XM_047440716.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,XM_011529501.2,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,XM_047440717.1,,,,,,,
SE_ENSG00000160305_21_1,DIP2A,human,no_unique_features,ENST00000417564.3,XM_047440718.1,,,,,,,
