cluster,gene_symbol,specie,event_type,canonical_transcript_id,transcript_id,domain_name,c_domain_length,t_domain_length,c_domains_number,t_domains_number,is_longest_cds,is_most_like_canonical
ENSG00000004487:t:23050387-23050520,KDM1A,human,no_unique_features,ENST00000400181.9,XM_006710473.4,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,no_unique_features,ENST00000400181.9,ENST00000685102.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,no_unique_features,ENST00000400181.9,XM_017000716.2,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,no_unique_features,ENST00000400181.9,ENST00000691404.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,no_unique_features,ENST00000400181.9,ENST00000874660.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,no_unique_features,ENST00000400181.9,ENST00000689366.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,transcript_doesnt_have_features,ENST00000400181.9,ENST00000481879.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,transcript_doesnt_have_features,ENST00000400181.9,ENST00000689677.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,transcript_doesnt_have_features,ENST00000400181.9,ENST00000686793.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,transcript_doesnt_have_features,ENST00000400181.9,ENST00000689971.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,transcript_doesnt_have_features,ENST00000400181.9,ENST00000688943.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,transcript_doesnt_have_features,ENST00000400181.9,ENST00000690391.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,transcript_doesnt_have_features,ENST00000400181.9,ENST00000690907.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,transcript_doesnt_have_features,ENST00000400181.9,ENST00000602503.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,no_unique_features,ENST00000400181.9,ENST00000688680.1,,,,,,,
ENSG00000004487:t:23050387-23050520,KDM1A,human,no_unique_features,ENST00000400181.9,ENST00000691694.1,,,,,,,
